"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 20 20:30:48 GMT 2024","Tue Aug 20 20:31:18 GMT 2024","30347","tests","Проверка ссылок на главной страницы Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Блог из меню главной страницы",""
"broken","Tue Aug 20 20:31:18 GMT 2024","Tue Aug 20 20:31:49 GMT 2024","30364","tests","Проверка ссылок на главной страницы Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Вебинары из меню главной страницы",""
"broken","Tue Aug 20 20:30:16 GMT 2024","Tue Aug 20 20:30:47 GMT 2024","30939","tests","Проверка ссылок на главной страницы Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Отзыв из меню главной страницы",""
