"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 20 20:38:41 GMT 2024","Tue Aug 20 20:38:54 GMT 2024","12533","tests","Проверка ссылок на главной странице Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Вебинары из меню главной страницы",""
"passed","Tue Aug 20 20:38:14 GMT 2024","Tue Aug 20 20:38:28 GMT 2024","13522","tests","Проверка ссылок на главной странице Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Отзыв из меню главной страницы",""
"passed","Tue Aug 20 20:38:28 GMT 2024","Tue Aug 20 20:38:41 GMT 2024","12534","tests","Проверка ссылок на главной странице Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Блог из меню главной страницы",""
