"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 16:25:59 GMT 2024","Sun Aug 25 16:26:15 GMT 2024","15885","tests","Проверка ссылок на главной странице Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Отзыв из меню главной страницы",""
"passed","Sun Aug 25 16:26:15 GMT 2024","Sun Aug 25 16:26:28 GMT 2024","12651","tests","Проверка ссылок на главной странице Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Блог из меню главной страницы",""
"passed","Sun Aug 25 16:26:28 GMT 2024","Sun Aug 25 16:26:41 GMT 2024","12585","tests","Проверка ссылок на главной странице Иннополиса","TestGoPagesFromMain","","","Успешный переход в раздел Вебинары из меню главной страницы",""
